Test,Placement,Size,Cycles
STORE_ON_MODIFIED,GLOBAL,8192,320.24
STORE_ON_EXCLUSIVE,GLOBAL,8192,369.66
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,16384,41.88
LOAD_FROM_MODIFIED,LOCAL,16384,32.33
LOAD_FROM_EXCLUSIVE,LOCAL,16384,34.68
STORE_ON_SHARED_OR_FORWARD,LOCAL,16384,137.79
STORE_ON_MODIFIED,LOCAL,16384,44.6
STORE_ON_EXCLUSIVE,LOCAL,16384,48.05
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,16384,92.97
LOAD_FROM_MODIFIED,SOCKET,16384,158.83
LOAD_FROM_EXCLUSIVE,SOCKET,16384,187.67
STORE_ON_SHARED_OR_FORWARD,SOCKET,16384,210.59
STORE_ON_MODIFIED,SOCKET,16384,184.64
STORE_ON_EXCLUSIVE,SOCKET,16384,213.75
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,16384,336.39
LOAD_FROM_MODIFIED,GLOBAL,16384,317.38
LOAD_FROM_EXCLUSIVE,GLOBAL,16384,345.71
STORE_ON_SHARED_OR_FORWARD,GLOBAL,16384,359.65
STORE_ON_MODIFIED,GLOBAL,16384,349.41
STORE_ON_EXCLUSIVE,GLOBAL,16384,373.14
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,32768,26.5
LOAD_FROM_MODIFIED,LOCAL,32768,28.71
LOAD_FROM_EXCLUSIVE,LOCAL,32768,22.01
STORE_ON_SHARED_OR_FORWARD,LOCAL,32768,109.35
STORE_ON_MODIFIED,LOCAL,32768,38.33
STORE_ON_EXCLUSIVE,LOCAL,32768,27.23
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,32768,90.44
LOAD_FROM_MODIFIED,SOCKET,32768,137.86
LOAD_FROM_EXCLUSIVE,SOCKET,32768,182.43
STORE_ON_SHARED_OR_FORWARD,SOCKET,32768,198.17
STORE_ON_MODIFIED,SOCKET,32768,163.99
STORE_ON_EXCLUSIVE,SOCKET,32768,211.98
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,32768,322.98
LOAD_FROM_MODIFIED,GLOBAL,32768,296.61
LOAD_FROM_EXCLUSIVE,GLOBAL,32768,331.22
STORE_ON_SHARED_OR_FORWARD,GLOBAL,32768,349.64
STORE_ON_MODIFIED,GLOBAL,32768,301.18
STORE_ON_EXCLUSIVE,GLOBAL,32768,365.91
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,65536,29.84
LOAD_FROM_MODIFIED,LOCAL,65536,24.27
LOAD_FROM_EXCLUSIVE,LOCAL,65536,18.81
STORE_ON_SHARED_OR_FORWARD,LOCAL,65536,93.52
STORE_ON_MODIFIED,LOCAL,65536,33.77
STORE_ON_EXCLUSIVE,LOCAL,65536,26.26
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,65536,82.64
LOAD_FROM_MODIFIED,SOCKET,65536,110.79
LOAD_FROM_EXCLUSIVE,SOCKET,65536,178.86
STORE_ON_SHARED_OR_FORWARD,SOCKET,65536,176.86
STORE_ON_MODIFIED,SOCKET,65536,125.6
STORE_ON_EXCLUSIVE,SOCKET,65536,195.5
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,65536,335.76
LOAD_FROM_MODIFIED,GLOBAL,65536,276.32
LOAD_FROM_EXCLUSIVE,GLOBAL,65536,332.44
STORE_ON_SHARED_OR_FORWARD,GLOBAL,65536,350.07
STORE_ON_MODIFIED,GLOBAL,65536,289.54
STORE_ON_EXCLUSIVE,GLOBAL,65536,347.85
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,131072,22.03
LOAD_FROM_MODIFIED,LOCAL,131072,23.16
LOAD_FROM_EXCLUSIVE,LOCAL,131072,21.01
STORE_ON_SHARED_OR_FORWARD,LOCAL,131072,69.98
STORE_ON_MODIFIED,LOCAL,131072,24.0
STORE_ON_EXCLUSIVE,LOCAL,131072,24.55
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,131072,66.61
LOAD_FROM_MODIFIED,SOCKET,131072,88.35
LOAD_FROM_EXCLUSIVE,SOCKET,131072,151.39
STORE_ON_SHARED_OR_FORWARD,SOCKET,131072,134.14
