Test,Placement,Size,Cycles
STORE_ON_SHARED_OR_FORWARD,SOCKET,262144,24.23
STORE_ON_MODIFIED,SOCKET,262144,26.09
STORE_ON_EXCLUSIVE,SOCKET,262144,46.05
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,262144,50.31
LOAD_FROM_MODIFIED,GLOBAL,262144,38.95
LOAD_FROM_EXCLUSIVE,GLOBAL,262144,62.78
STORE_ON_SHARED_OR_FORWARD,GLOBAL,262144,54.91
STORE_ON_MODIFIED,GLOBAL,262144,39.5
STORE_ON_EXCLUSIVE,GLOBAL,262144,64.05
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,524288,27.63
LOAD_FROM_MODIFIED,LOCAL,524288,23.13
LOAD_FROM_EXCLUSIVE,LOCAL,524288,22.23
STORE_ON_SHARED_OR_FORWARD,LOCAL,524288,31.32
STORE_ON_MODIFIED,LOCAL,524288,22.88
STORE_ON_EXCLUSIVE,LOCAL,524288,23.05
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,524288,32.71
LOAD_FROM_MODIFIED,SOCKET,524288,35.17
LOAD_FROM_EXCLUSIVE,SOCKET,524288,62.7
STORE_ON_SHARED_OR_FORWARD,SOCKET,524288,35.91
STORE_ON_MODIFIED,SOCKET,524288,34.74
STORE_ON_EXCLUSIVE,SOCKET,524288,65.69
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,524288,68.93
LOAD_FROM_MODIFIED,GLOBAL,524288,59.95
LOAD_FROM_EXCLUSIVE,GLOBAL,524288,85.75
STORE_ON_SHARED_OR_FORWARD,GLOBAL,524288,69.79
STORE_ON_MODIFIED,GLOBAL,524288,57.89
STORE_ON_EXCLUSIVE,GLOBAL,524288,88.71
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,1048576,52.84
LOAD_FROM_MODIFIED,LOCAL,1048576,48.29
LOAD_FROM_EXCLUSIVE,LOCAL,1048576,48.9
STORE_ON_SHARED_OR_FORWARD,LOCAL,1048576,60.09
STORE_ON_MODIFIED,LOCAL,1048576,54.45
STORE_ON_EXCLUSIVE,LOCAL,1048576,53.88
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,1048576,58.5
LOAD_FROM_MODIFIED,SOCKET,1048576,56.57
LOAD_FROM_EXCLUSIVE,SOCKET,1048576,98.34
STORE_ON_SHARED_OR_FORWARD,SOCKET,1048576,65.17
STORE_ON_MODIFIED,SOCKET,1048576,61.49
STORE_ON_EXCLUSIVE,SOCKET,1048576,102.61
LOAD_FROM_SHARED_OR_FORWARD,GLOBAL,1048576,132.76
LOAD_FROM_MODIFIED,GLOBAL,1048576,109.63
LOAD_FROM_EXCLUSIVE,GLOBAL,1048576,133.26
STORE_ON_SHARED_OR_FORWARD,GLOBAL,1048576,140.15
STORE_ON_MODIFIED,GLOBAL,1048576,128.06
STORE_ON_EXCLUSIVE,GLOBAL,1048576,152.41
LOAD_FROM_SHARED_OR_FORWARD,LOCAL,2097152,78.89
LOAD_FROM_MODIFIED,LOCAL,2097152,75.0
LOAD_FROM_EXCLUSIVE,LOCAL,2097152,75.42
STORE_ON_SHARED_OR_FORWARD,LOCAL,2097152,80.42
STORE_ON_MODIFIED,LOCAL,2097152,75.78
STORE_ON_EXCLUSIVE,LOCAL,2097152,75.74
LOAD_FROM_SHARED_OR_FORWARD,SOCKET,2097152,92.12
LOAD_FROM_MODIFIED,SOCKET,2097152,79.99
LOAD_FROM_EXCLUSIVE,SOCKET,2097152,124.75
STORE_ON_SHARED_OR_FORWARD,SOCKET,2097152,97.47
STORE_ON_MODIFIED,SOCKET,2097152,80.62
STORE_ON_EXCLUSIVE,SOCKET,2097152,130.76
